N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
152,하이트진로,"25,550","1,150",-4.31%,"5,000","17,919","70,134",13.62,"198,441",15.77,6.62,
153,대성홀딩스,"109,500","4,500",-3.95%,"1,000","17,618","16,089",5.15,"56,084",110.16,3.61,
154,대우건설,"4,180",90,-2.11%,"5,000","17,373","415,623",12.60,"1,064,050",3.46,16.47,
155,LS ELECTRIC,"56,400","1,500",-2.59%,"5,000","16,920","30,000",12.04,"122,741",17.24,5.86,
156,TIGER 미국S&P500,"12,035",160,-1.31%,0,"16,506","137,150",0.00,"621,762",N/A,N/A,
157,DB하이텍,"37,150",950,-2.49%,"5,000","16,494","44,399",25.38,"288,270",2.72,33.35,
158,롯데칠성,"176,000","2,500",-1.40%,500,"16,331","9,279",12.81,"24,961",14.85,9.96,
159,코스모신소재,"51,800","1,500",-2.81%,"1,000","15,877","30,651",7.75,"216,806",55.46,9.42,
160,삼천리,"391,000","18,000",-4.40%,"5,000","15,855","4,055",14.26,"32,747",19.95,4.52,
161,현대두산인프라코어,"8,000",270,-3.26%,"1,000","15,821","197,763",11.89,"9,995,958",3.44,24.63,
162,JB금융지주,"7,890",20,-0.25%,"5,000","15,542","196,983",28.19,"950,078",2.67,12.80,
163,현대일렉트릭,"42,500","1,250",-2.86%,"5,000","15,320","36,047",14.43,"189,844",31.20,-5.08,
164,효성티앤씨,"350,000","14,000",-3.85%,"5,000","15,147","4,328",7.55,"36,098",9.95,76.22,
165,녹십자,"129,500","4,000",-3.00%,"5,000","15,134","11,687",22.24,"27,571",13.94,10.30,
166,효성첨단소재,"333,500","13,500",-3.89%,"5,000","14,941","4,480",5.72,"30,966",8.25,54.69,
167,한전KPS,"33,200","1,600",-4.60%,200,"14,940","45,000",5.02,"167,245",22.79,9.12,
168,롯데정밀화학,"56,700","1,300",-2.24%,"5,000","14,629","25,800",19.77,"61,687",4.76,30.43,
169,쌍용차,"8,760",0,0.00%,"5,000","14,625","166,956",27.55,0,-2.47,305.77,
170,효성,"67,100","3,200",-4.55%,"5,000","14,139","21,071",3.66,"149,308",12.16,18.04,
171,금양,"23,900",300,+1.27%,500,"13,874","58,050",2.60,"1,444,287",78.88,13.57,
172,현대백화점,"59,000","2,100",-3.44%,"5,000","13,807","23,402",24.17,"65,569",6.57,4.36,
173,두산,"83,100",500,-0.60%,"5,000","13,731","16,524",6.70,"73,741",-16.78,11.08,
174,현대위아,"49,450","1,650",-3.23%,"5,000","13,448","27,195",10.50,"139,905",6.57,1.96,
175,한국앤컴퍼니,"13,950",150,-1.06%,500,"13,243","94,935",8.98,"118,076",5.53,5.53,
176,LX인터내셔널,"33,950","2,050",-5.69%,"5,000","13,159","38,760",29.83,"734,568",2.22,22.49,
177,TIGER 미국필라델피아반도체나스닥,"8,440",85,-1.00%,0,"13,069","154,850",0.19,"653,919",N/A,N/A,
178,DL이앤씨,"33,750","1,150",-3.30%,"5,000","13,059","38,694",21.71,"271,166",3.00,N/A,
179,SK케미칼,"73,200","4,700",-6.03%,"5,000","12,630","17,254",13.93,"152,852",6.87,11.19,
180,DL,"59,200","1,600",-2.63%,"5,000","12,406","20,956",9.23,"127,755",33.43,26.52,
181,현대건설기계,"62,200","2,400",-3.72%,"5,000","12,254","19,701",17.57,"182,883",12.29,8.92,
182,TIGER 단기통안채,"102,045",5,0.00%,0,"12,206","11,961",1.08,"3,557",N/A,N/A,
183,F&F홀딩스,"30,450","1,500",-4.69%,500,"11,910","39,114",0.28,"512,299",10.03,153.88,
184,대웅,"20,350",500,-2.40%,500,"11,832","58,142",4.58,"52,854",9.48,11.13,
185,DGB금융지주,"6,990",200,-2.78%,"5,000","11,823","169,146",43.95,"835,989",2.46,9.63,
186,TIGER 미국테크TOP10 INDXX,"7,955",90,-1.12%,0,"11,789","148,200",0.30,"596,447",N/A,N/A,
187,동원시스템즈,"40,600","2,000",-4.69%,"5,000","11,770","28,991",13.22,"31,988",25.15,6.95,
188,GKL,"18,900",150,-0.79%,500,"11,691","61,856",5.06,"534,594",-24.26,-26.04,
189,LX세미콘,"71,700","2,600",-3.50%,500,"11,662","16,264",26.85,"144,426",4.03,44.49,
190,롯데제과,"122,500","1,000",-0.81%,500,"11,557","9,435",13.98,"8,439",22.40,2.88,
191,현대엘리베이,"28,300",150,-0.53%,"5,000","11,551","40,815",29.04,"147,668",8.06,10.62,
192,KODEX 삼성그룹,"8,445",185,-2.14%,0,"11,494","136,100",2.43,"501,369",N/A,N/A,
193,KBSTAR 200,"29,770",520,-1.72%,0,"11,491","38,600",10.65,"303,398",N/A,N/A,
194,제주항공,"14,900",350,-2.30%,"1,000","11,472","76,994",1.88,"959,626",-3.57,-135.83,
195,코오롱인더,"41,150","1,250",-2.95%,"5,000","11,324","27,519",17.77,"112,139",7.53,8.20,
196,KODEX 단기채권PLUS,"104,975",10,+0.01%,0,"11,306","10,770",0.00,"438,554",N/A,N/A,
197,신풍제약,"21,150",150,+0.71%,500,"11,206","52,985",5.18,"263,385",-39.09,-3.19,
198,더존비즈온,"36,850","1,000",-2.64%,500,"11,196","30,383",23.18,"86,643",30.79,12.10,
199,한미반도체,"11,500",400,-3.36%,100,"11,194","97,339",4.95,"285,410",9.11,34.59,
200,대한유화,"171,500","1,000",-0.58%,"5,000","11,148","6,500",5.95,"46,907",-14.81,7.64,
